# Kommuneskat og kirkeskat for 2026 — PARTIEL liste.
#
# Denne fil indeholder KUN en repræsentativ delmængde af Danmarks 98 kommuner
# (store byer, kendte høj-/lavskattekommuner). Den er IKKE en komplet,
# autoritativ liste over alle 98 kommuners satser. Satserne er baseret på
# kendte 2025-niveauer fremskrevet til 2026 og skal verificeres mod
# Skatteministeriets/KL's officielle kommunale skatteoversigt for 2026
# (offentliggøres typisk i slutningen af året før, dvs. ultimo 2025 for 2026),
# se https://www.skm.dk og https://www.kl.dk.
#
# Ukendte kommuner (dvs. kommuner der IKKE findes i denne fil) håndteres i
# rates_2026.py via et nationalt gennemsnitligt fallback (se
# GENNEMSNITLIG_KOMMUNESKAT_PCT / GENNEMSNITLIG_KIRKESKAT_PCT), IKKE ved at
# fabrikere tal her.
kommune,kommuneskat_pct,kirkeskat_pct
København,23.9,0.72
Frederiksberg,23.8,0.43
Aarhus,24.4,0.71
Odense,25.5,0.85
Aalborg,25.8,0.98
Esbjerg,25.1,0.98
Randers,25.5,0.94
Kolding,24.9,0.83
Horsens,25.4,0.86
Vejle,24.5,0.8
Roskilde,24.9,0.76
Herning,25.3,0.98
Silkeborg,25.4,0.91
Næstved,25.5,0.98
Fredericia,25.5,0.9
Gentofte,22.7,0.37
Rudersdal,22.9,0.44
Gladsaxe,23.8,0.66
Lyngby-Taarbæk,23.8,0.49
Hørsholm,22.8,0.4
Ballerup,25.1,0.6
Helsingør,25.1,0.66
Holbæk,25.6,0.93
Slagelse,25.4,1.08
Viborg,25.1,0.94
Ringkøbing-Skjern,24.9,1.04
Skanderborg,24.5,0.83
Sønderborg,25.7,0.98
Thisted,25.5,1.13
Langeland,25.7,1.19
Ærø,26.3,1.15
Lolland,25.7,1.28
